,argu,loss_fun,class_weight,nl,opt,epochs,error
118,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[90, 40]",SGD,200.0,451.606635518122
119,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[90, 40]",SGD,300.0,386.1826821731867
120,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[90, 40]",Adam,100.0,266.56573091534847
121,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[90, 40]",Adam,200.0,260.7893284983578
122,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[90, 40]",Adam,300.0,230.60558028851958
123,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[90, 40]",RMSprop,100.0,267.55294659931445
124,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[90, 40]",RMSprop,200.0,244.64188587213113
125,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[90, 40]",RMSprop,300.0,272.90553701217624
126,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[90, 70]",SGD,100.0,571.3802174619894
127,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[90, 70]",SGD,200.0,551.7847786989252
128,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[90, 70]",SGD,300.0,513.3666921040947
129,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[90, 70]",Adam,100.0,216.33261746762744
130,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[90, 70]",Adam,200.0,194.03244449858204
131,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[90, 70]",Adam,300.0,382.88573317084166
132,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[90, 70]",RMSprop,100.0,313.1226591387176
133,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[90, 70]",RMSprop,200.0,271.3522769500094
134,1.0,mse,"{0: 1.0, 1: 1.0, 2: 1.0}","[90, 70]",RMSprop,300.0,180.75634615449226
135,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[30, 10]",SGD,100.0,
136,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[30, 10]",SGD,200.0,
137,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[30, 10]",SGD,300.0,
138,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[30, 10]",Adam,100.0,281.89223618570173
139,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[30, 10]",Adam,200.0,313.9633269212109
140,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[30, 10]",Adam,300.0,217.92077672754812
141,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[30, 10]",RMSprop,100.0,112.63533299527487
142,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[30, 10]",RMSprop,200.0,140.45385953134402
143,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[30, 10]",RMSprop,300.0,201.77790855901827
144,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[50, 30, 10]",SGD,100.0,
145,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[50, 30, 10]",SGD,200.0,
146,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[50, 30, 10]",SGD,300.0,
147,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[50, 30, 10]",Adam,100.0,219.93638144716226
148,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[50, 30, 10]",Adam,200.0,234.22365669893142
149,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[50, 30, 10]",Adam,300.0,179.1365845793416
150,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[50, 30, 10]",RMSprop,100.0,182.36384445933186
151,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[50, 30, 10]",RMSprop,200.0,166.19893358680008
152,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[50, 30, 10]",RMSprop,300.0,85.06835974496263
153,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[70, 50, 30, 10]",SGD,100.0,
154,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[70, 50, 30, 10]",SGD,200.0,
155,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[70, 50, 30, 10]",SGD,300.0,
156,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[70, 50, 30, 10]",Adam,100.0,277.17204221020324
157,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[70, 50, 30, 10]",Adam,200.0,186.18746722492477
158,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[70, 50, 30, 10]",Adam,300.0,207.26095679678528
159,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[70, 50, 30, 10]",RMSprop,100.0,292.1228623348804
160,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[70, 50, 30, 10]",RMSprop,200.0,136.93428553226457
161,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[70, 50, 30, 10]",RMSprop,300.0,121.54983540162709
162,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[100, 50, 30, 10]",SGD,100.0,
163,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[100, 50, 30, 10]",SGD,200.0,
164,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[100, 50, 30, 10]",SGD,300.0,
165,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[100, 50, 30, 10]",Adam,100.0,310.9019424210957
166,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[100, 50, 30, 10]",Adam,200.0,175.4497566862824
167,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[100, 50, 30, 10]",Adam,300.0,75.72811943609332
168,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[100, 50, 30, 10]",RMSprop,100.0,165.25315461727806
169,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[100, 50, 30, 10]",RMSprop,200.0,172.34012836019755
170,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[100, 50, 30, 10]",RMSprop,300.0,140.5619571159301
171,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[80, 30, 10]",SGD,100.0,
172,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[80, 30, 10]",SGD,200.0,
173,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[80, 30, 10]",SGD,300.0,
174,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[80, 30, 10]",Adam,100.0,270.505825067146
175,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[80, 30, 10]",Adam,200.0,177.88105182195832
176,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[80, 30, 10]",Adam,300.0,228.06345368435422
177,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[80, 30, 10]",RMSprop,100.0,180.4488023003769
178,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[80, 30, 10]",RMSprop,200.0,143.93976553272802
179,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[80, 30, 10]",RMSprop,300.0,155.9533097877621
180,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[100, 80, 30, 10]",SGD,100.0,
181,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[100, 80, 30, 10]",SGD,200.0,
182,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[100, 80, 30, 10]",SGD,300.0,
183,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[100, 80, 30, 10]",Adam,100.0,187.6233904312552
184,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[100, 80, 30, 10]",Adam,200.0,244.9885700019001
185,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[100, 80, 30, 10]",Adam,300.0,196.57093776248206
186,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[100, 80, 30, 10]",RMSprop,100.0,102.75821408214836
187,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[100, 80, 30, 10]",RMSprop,200.0,186.87281030065003
188,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[100, 80, 30, 10]",RMSprop,300.0,168.17818752228587
189,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[60, 10]",SGD,100.0,
190,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[60, 10]",SGD,200.0,
191,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[60, 10]",SGD,300.0,
192,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[60, 10]",Adam,100.0,315.54258112981364
193,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[60, 10]",Adam,200.0,143.30323594876853
194,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[60, 10]",Adam,300.0,219.05935335431073
195,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[60, 10]",RMSprop,100.0,111.11275846070035
196,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[60, 10]",RMSprop,200.0,103.81844436822291
197,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[60, 10]",RMSprop,300.0,129.77995888400355
198,1.0,mse,"{0: 10000.0, 1: 100.0, 2: 1.0}","[80, 60, 10]",SGD,100.0,
